test_idx,label,W2_c2,W2_network,W2_physical,W2_combined,W2_c2_only,W2_network_only,W2_physical_only,W2_c2_network,W2_c2_physical,W2_network_physical,W2_all_three
13,Sybil Attack,0.11880307703894477,0.06251850580423511,0.002257326650413255,0.18357890949359315,0.11880307703894477,0.06251850580423511,0.002257326650413255,0.1813215828431799,0.12106040368935803,0.06477583245464837,0.18357890949359315
21,Sybil Attack,0.11678413409753442,0.06263781786684149,0.0,0.1794219519643759,0.11678413409753442,0.06263781786684149,0.0,0.1794219519643759,0.11678413409753442,0.06263781786684149,0.1794219519643759
36,Sybil Attack,0.11409940520162186,0.06335738325969614,0.0,0.17745678846131802,0.11409940520162186,0.06335738325969614,0.0,0.17745678846131802,0.11409940520162186,0.06335738325969614,0.17745678846131802
46,Sybil Attack,0.10830016215675903,0.06501658706254776,0.0,0.1733167492193068,0.10830016215675903,0.06501658706254776,0.0,0.1733167492193068,0.10830016215675903,0.06501658706254776,0.1733167492193068
55,Sybil Attack,0.046891106453302085,0.06284863085141543,0.0,0.1097397373047175,0.046891106453302085,0.06284863085141543,0.0,0.1097397373047175,0.046891106453302085,0.06284863085141543,0.1097397373047175
56,Sybil Attack,0.1026685138239903,0.06251850580139565,0.0,0.16518701962538596,0.1026685138239903,0.06251850580139565,0.0,0.16518701962538596,0.1026685138239903,0.06251850580139565,0.16518701962538596
75,Sybil Attack,0.08697246711470266,0.05726768322789126,0.0,0.1442401503425939,0.08697246711470266,0.05726768322789126,0.0,0.1442401503425939,0.08697246711470266,0.05726768322789126,0.1442401503425939
78,Sybil Attack,0.12331346567804491,0.0625067633967327,0.0,0.1858202290747776,0.12331346567804491,0.0625067633967327,0.0,0.1858202290747776,0.12331346567804491,0.0625067633967327,0.1858202290747776
84,Sybil Attack,0.1314113109393934,0.06251850558044522,0.0,0.19392981651983862,0.1314113109393934,0.06251850558044522,0.0,0.19392981651983862,0.1314113109393934,0.06251850558044522,0.19392981651983862
87,Sybil Attack,0.12067940225312249,0.0637539743938964,0.0,0.1844333766470189,0.12067940225312249,0.0637539743938964,0.0,0.1844333766470189,0.12067940225312249,0.0637539743938964,0.1844333766470189
122,Sybil Attack,0.12206585369438105,0.04395549185544656,0.0020289551217553686,0.168050300671583,0.12206585369438105,0.04395549185544656,0.0020289551217553686,0.16602134554982761,0.12409480881613642,0.04598444697720193,0.168050300671583
139,Sybil Attack,0.11679566947087641,0.0627671831166742,0.0,0.17956285258755061,0.11679566947087641,0.0627671831166742,0.0,0.17956285258755061,0.11679566947087641,0.0627671831166742,0.17956285258755061
159,Sybil Attack,0.12343878239736822,0.06259846635060846,0.0,0.18603724874797667,0.12343878239736822,0.06259846635060846,0.0,0.18603724874797667,0.12343878239736822,0.06259846635060846,0.18603724874797667
203,Sybil Attack,0.10988168538968192,0.052725952463253636,0.0,0.16260763785293555,0.10988168538968192,0.052725952463253636,0.0,0.16260763785293555,0.10988168538968192,0.052725952463253636,0.16260763785293555
206,Sybil Attack,0.11414061251592075,0.06514667071575045,0.01706864901329385,0.19635593224496506,0.11414061251592075,0.06514667071575045,0.01706864901329385,0.1792872832316712,0.1312092615292146,0.0822153197290443,0.19635593224496506
208,Sybil Attack,0.126993680650989,0.061027819538502184,0.0,0.1880215001894912,0.126993680650989,0.061027819538502184,0.0,0.1880215001894912,0.126993680650989,0.061027819538502184,0.1880215001894912
217,Sybil Attack,0.11071443087956637,0.05101923755791123,0.0,0.1617336684374776,0.11071443087956637,0.05101923755791123,0.0,0.1617336684374776,0.11071443087956637,0.05101923755791123,0.1617336684374776
239,Sybil Attack,0.12158485798072878,0.052136461308902315,0.0,0.17372131928963108,0.12158485798072878,0.052136461308902315,0.0,0.17372131928963108,0.12158485798072878,0.052136461308902315,0.17372131928963108
250,Sybil Attack,0.12432262225420188,0.04684954346309949,0.0,0.17117216571730137,0.12432262225420188,0.04684954346309949,0.0,0.17117216571730137,0.12432262225420188,0.04684954346309949,0.17117216571730137
260,Sybil Attack,0.12100021115502142,0.06253053254281235,0.0,0.1835307436978338,0.12100021115502142,0.06253053254281235,0.0,0.1835307436978338,0.12100021115502142,0.06253053254281235,0.1835307436978338
269,Sybil Attack,0.046365198459530424,0.06120632331357351,0.0,0.10757152177310393,0.046365198459530424,0.06120632331357351,0.0,0.10757152177310393,0.046365198459530424,0.06120632331357351,0.10757152177310393
282,Sybil Attack,0.11700486998816462,0.06251850580423511,0.016519370747668016,0.19604274654006776,0.11700486998816462,0.06251850580423511,0.016519370747668016,0.17952337579239974,0.13352424073583263,0.07903787655190313,0.19604274654006776
299,Sybil Attack,0.13162545558420272,0.06251850586122394,0.01714554732960086,0.21128950877502753,0.13162545558420272,0.06251850586122394,0.01714554732960086,0.19414396144542667,0.14877100291380357,0.0796640531908248,0.21128950877502753
318,Sybil Attack,0.044783467685221075,0.06381052145559966,0.0004087940834390999,0.10900278322425985,0.044783467685221075,0.06381052145559966,0.0004087940834390999,0.10859398914082075,0.045192261768660175,0.06421931553903876,0.10900278322425985
324,Sybil Attack,0.1195424478105046,0.06381052145559966,0.0,0.18335296926610428,0.1195424478105046,0.06381052145559966,0.0,0.18335296926610428,0.1195424478105046,0.06381052145559966,0.18335296926610428
325,Sybil Attack,0.044783467685221075,0.0625111037827795,0.0,0.10729457146800059,0.044783467685221075,0.0625111037827795,0.0,0.10729457146800059,0.044783467685221075,0.0625111037827795,0.10729457146800059
359,Sybil Attack,0.12011687827812881,0.06251850586408209,0.015596459374878488,0.1982318435170894,0.12011687827812881,0.06251850586408209,0.015596459374878488,0.1826353841422109,0.1357133376530073,0.07811496523896057,0.1982318435170894
411,Sybil Attack,0.08697246711470266,0.0627904489963624,0.0,0.14976291611106507,0.08697246711470266,0.0627904489963624,0.0,0.14976291611106507,0.08697246711470266,0.0627904489963624,0.14976291611106507
414,Sybil Attack,0.044783467685221075,0.06251850580423511,0.0,0.10730197348945619,0.044783467685221075,0.06251850580423511,0.0,0.10730197348945619,0.044783467685221075,0.06251850580423511,0.10730197348945619
432,Sybil Attack,0.08908010588278367,0.06517185648172139,0.0,0.15425196236450506,0.08908010588278367,0.06517185648172139,0.0,0.15425196236450506,0.08908010588278367,0.06517185648172139,0.15425196236450506
433,Sybil Attack,0.1267391909906319,0.04659632679448681,0.0,0.17333551778511871,0.1267391909906319,0.04659632679448681,0.0,0.17333551778511871,0.1267391909906319,0.04659632679448681,0.17333551778511871
440,Sybil Attack,0.10351235660926568,0.06512339827326163,0.016995383400155564,0.18563113828268285,0.10351235660926568,0.06512339827326163,0.016995383400155564,0.1686357548825273,0.12050774000942124,0.0821187816734172,0.18563113828268285
450,Sybil Attack,0.11434047369921954,0.06251850580425379,0.0,0.17685897950347335,0.11434047369921954,0.06251850580425379,0.0,0.17685897950347335,0.11434047369921954,0.06251850580425379,0.17685897950347335
