subset,scoring,mean,std,ci_lo,ci_hi,n_seeds
c2_only,raw,0.7345334374999999,0.039595172572937806,0.7223599062500001,0.7463451640625001,10
c2_only,znorm,0.7345334374999999,0.039595172572937806,0.7223599062500001,0.7463451640625001,10
network_only,raw,0.7601265624999999,0.008878116658596356,0.7508586640624999,0.7687747109375,10
network_only,znorm,0.7601265624999999,0.008878116658596356,0.7508586640624999,0.7687747109375,10
physical_only,raw,0.620190625,0.024720315259825067,0.608213453125,0.6316243906250001,10
physical_only,znorm,0.620190625,0.024720315259825067,0.608213453125,0.6316243906250001,10
c2_network,raw,0.8203568749999999,0.027962715433717908,0.8114214453125,0.8287752812500001,10
c2_network,znorm,0.82938125,0.016479192477855852,0.821082,0.8370215468749999,10
c2_physical,raw,0.7540346875,0.02548136763328596,0.7416461328124999,0.7659942734374999,10
c2_physical,znorm,0.7442678125000001,0.018804537815900173,0.7312312500000001,0.7559951015625,10
network_physical,raw,0.8553487499999999,0.019266839180672277,0.8443647890625,0.8656642109374999,10
network_physical,znorm,0.8692418749999999,0.01223153708926122,0.8602215546875001,0.8777941640625,10
all_three,raw,0.8578699999999999,0.02225712852996328,0.8485007968749999,0.8664335078125,10
all_three,znorm,0.8929525,0.007832647604072516,0.8849354531250001,0.8999251484374999,10
