subset,scoring,auc,ci_lo,ci_hi,n_flows,n_approx_flagged
c2_only,raw,0.7843846224599536,0.7756494278262438,0.7930946675829229,18326,0
c2_only,znorm,0.7843846224599536,0.7756494278262438,0.7930946675829229,18326,0
network_only,raw,0.7532853713845021,0.7465850625902105,0.7601907405048961,18326,0
network_only,znorm,0.7532853713845021,0.7465850625902105,0.7601907405048961,18326,0
physical_only,raw,0.6581790113629931,0.6491440258055272,0.6675480289434398,18326,0
physical_only,znorm,0.6581790113629931,0.6491440258055272,0.6675480289434398,18326,0
c2_network,raw,0.8515603420218487,0.8456584305307919,0.8574674742280806,18326,0
c2_network,znorm,0.842032815418577,0.836018509526943,0.8480222125820738,18326,0
c2_physical,raw,0.7994110930689988,0.7906687890470228,0.8079342106310494,18326,0
c2_physical,znorm,0.7966519941840718,0.787860945282872,0.8052887945215657,18326,0
network_physical,raw,0.8711389879436238,0.8639926045027454,0.8783231912782306,18326,0
network_physical,znorm,0.8736579498500029,0.8673499081974868,0.8799170513881813,18326,0
all_three,raw,0.9037305781966378,0.8981823663999264,0.9093378757004584,18326,0
all_three,znorm,0.908231183138054,0.9033285875502348,0.9131230454378221,18326,0
