attack_class,manifold,auc,ci_lo,ci_hi,dominant
Blackhole Attack,c2,0.43798154300103154,0.4283528695924506,0.4485068307784899,False
Blackhole Attack,network,0.36098730275820257,0.3536855730362266,0.3685439440940993,False
Blackhole Attack,physical,0.7915554313884148,0.7863857839573609,0.7966521463489766,True
Wormhole Attack,c2,0.55968878118859,0.549681348797598,0.568858626391978,False
Wormhole Attack,network,0.29634029668639894,0.2890047509871304,0.30373098367960083,False
Wormhole Attack,physical,0.7280738991258726,0.7207227926101513,0.735570891177143,True
Sybil Attack,c2,0.6793745994348638,0.6711689512817754,0.6870432529422452,False
Sybil Attack,network,0.8877532811407135,0.8830637303542532,0.8924081881889002,True
Sybil Attack,physical,0.185855241088105,0.1788908287274518,0.1930613515466437,False
Flooding Attack,c2,0.6469131843355032,0.6366619218427202,0.6565602501227542,False
Flooding Attack,network,0.786944249881897,0.7803366318823359,0.7932605753281661,True
Flooding Attack,physical,0.4189939454314934,0.4099984681429483,0.42805041962722884,False
