subset,scoring,exact_auc,probe10_mean,probe10_std,published3_mean,published3_std,delta_exact_minus_probe
c2_only,raw,0.7843846224599536,0.7345334374999999,0.0395951725729378,0.7488,0.0269,0.049851184959953665
c2_only,znorm,0.7843846224599536,0.7345334374999999,0.0395951725729378,,,0.049851184959953665
network_only,raw,0.7532853713845021,0.7601265624999999,0.0088781166585963,0.761,0.0163,-0.006841191115497747
network_only,znorm,0.7532853713845021,0.7601265624999999,0.0088781166585963,,,-0.006841191115497747
physical_only,raw,0.6581790113629931,0.620190625,0.024720315259825,0.6114,0.0152,0.037988386362993065
physical_only,znorm,0.6581790113629931,0.620190625,0.024720315259825,,,0.037988386362993065
c2_network,raw,0.8515603420218487,0.8203568749999999,0.0279627154337179,0.8304,0.0211,0.03120346702184884
c2_network,znorm,0.842032815418577,0.82938125,0.0164791924778558,,,0.012651565418577038
c2_physical,raw,0.7994110930689988,0.7540346875,0.0254813676332859,0.7542,0.0339,0.0453764055689988
c2_physical,znorm,0.7966519941840718,0.7442678125000001,0.0188045378159001,,,0.05238418168407177
network_physical,raw,0.8711389879436238,0.8553487499999999,0.0192668391806722,0.8594,0.0043,0.015790237943623886
network_physical,znorm,0.8736579498500029,0.8692418749999999,0.0122315370892612,,,0.004416074850002949
all_three,raw,0.9037305781966378,0.8578699999999999,0.0222571285299632,0.8577,0.0276,0.04586057819663791
all_three,znorm,0.908231183138054,0.8929525,0.0078326476040725,,,0.015278683138053917
