attack_class,manifold,mean,std,ci_lo,ci_hi,dominant
Blackhole Attack,c2,0.44053062500000006,0.024058017791415868,0.42633171875,0.455322984375,False
Blackhole Attack,network,0.34220937500000004,0.01378812824384623,0.33212941406249996,0.35261812499999995,False
Blackhole Attack,physical,0.7873284375,0.00965973265698078,0.7796590312499999,0.7952329140625,True
Wormhole Attack,c2,0.541660625,0.018057252950395963,0.5271010703125001,0.5553338671874999,False
Wormhole Attack,network,0.273504375,0.014125350382822364,0.263349046875,0.2834721484375,False
Wormhole Attack,physical,0.7400834375,0.011422028759984966,0.7305144609375,0.7498912265625001,True
Sybil Attack,c2,0.630219375,0.029535902624379155,0.6179211796874999,0.64247890625,False
Sybil Attack,network,0.8703990625,0.010824272056812696,0.8638351328124999,0.8773075703125001,True
Sybil Attack,physical,0.20765062500000003,0.013407291852808648,0.1984638984375,0.21636342187500004,False
Flooding Attack,c2,0.6221228125,0.024676889863547928,0.609083671875,0.63560346875,False
Flooding Attack,network,0.77401375,0.012091065432014275,0.765724,0.7826123437500001,True
Flooding Attack,physical,0.385128125,0.017358077102945645,0.3748013359375,0.39609439062499996,False
