w,bin,bin_lo,bin_hi,majority_class,n_windows,mean_raw_all_three,mean_znorm_all_three,threshold,detection_rate
25,0,0.0,0.0,all,240,0.7178219561322818,-0.40272063873438596,1.726657601800544,0.041666666666666664
25,0,0.0,0.0,Normal Traffic,240,0.7178219561322818,-0.40272063873438596,1.726657601800544,0.041666666666666664
25,"(0.00,0.25]",0.0,0.25,all,1000,0.789466209175634,0.36337955945558115,1.726657601800544,0.212
25,"(0.00,0.25]",0.0,0.25,Normal Traffic,1000,0.789466209175634,0.36337955945558115,1.726657601800544,0.212
25,"(0.25,0.50]",0.25,0.5,all,489,0.906519643990982,1.3384063657161724,1.726657601800544,0.4069529652351738
25,"(0.25,0.50]",0.25,0.5,Normal Traffic,489,0.906519643990982,1.3384063657161724,1.726657601800544,0.4069529652351738
25,"(0.50,0.75]",0.5,0.75,all,2415,1.380210767722605,5.868719777689706,1.726657601800544,0.8881987577639752
25,"(0.50,0.75]",0.5,0.75,Blackhole Attack,569,1.095113698119051,3.1574414098550507,1.726657601800544,0.5254833040421792
25,"(0.50,0.75]",0.5,0.75,Flooding Attack,70,1.3763439428943203,6.113706671840268,1.726657601800544,1.0
25,"(0.50,0.75]",0.5,0.75,Normal Traffic,1406,1.4749048056829066,6.749087807346548,1.726657601800544,1.0
25,"(0.50,0.75]",0.5,0.75,Sybil Attack,170,1.4174401050499756,6.581423988265923,1.726657601800544,1.0
25,"(0.50,0.75]",0.5,0.75,Wormhole Attack,200,1.4953212958454478,6.701775493749177,1.726657601800544,1.0
25,"(0.75,1.00]",0.75,1.0,all,10516,1.4022589613621916,5.950440230946862,1.726657601800544,0.9328642069227844
25,"(0.75,1.00]",0.75,1.0,Blackhole Attack,3081,1.344977059894663,5.532580714492625,1.726657601800544,0.8851022395326192
25,"(0.75,1.00]",0.75,1.0,Flooding Attack,1814,1.307370199821575,5.16175197792855,1.726657601800544,0.8721058434399118
25,"(0.75,1.00]",0.75,1.0,Normal Traffic,62,1.4945051948917198,7.053216569427995,1.726657601800544,1.0
25,"(0.75,1.00]",0.75,1.0,Sybil Attack,2640,1.5780294227301248,7.051818653075133,1.726657601800544,0.9924242424242424
25,"(0.75,1.00]",0.75,1.0,Wormhole Attack,2919,1.3607586075992444,5.8620861692017705,1.726657601800544,0.9657416923603974
50,0,0.0,0.0,all,60,0.9177842774714358,-0.484259270019869,1.0037634212283881,0.13333333333333333
50,0,0.0,0.0,Normal Traffic,60,0.9177842774714358,-0.484259270019869,1.0037634212283881,0.13333333333333333
50,"(0.00,0.25]",0.0,0.25,all,510,0.9999648429086374,0.033544171985712946,1.0037634212283881,0.2549019607843137
50,"(0.00,0.25]",0.0,0.25,Normal Traffic,510,0.9999648429086374,0.033544171985712946,1.0037634212283881,0.2549019607843137
50,"(0.25,0.50]",0.25,0.5,all,310,1.1711249719462162,1.43209257127352,1.0037634212283881,0.7
50,"(0.25,0.50]",0.25,0.5,Blackhole Attack,20,0.8830389287678632,0.043649961020474956,1.0037634212283881,0.5
50,"(0.25,0.50]",0.25,0.5,Normal Traffic,290,1.1909929749240333,1.5278472340495926,1.0037634212283881,0.7137931034482758
50,"(0.50,0.75]",0.5,0.75,all,1136,2.0786047710028295,8.042903181944546,1.0037634212283881,0.9295774647887324
50,"(0.50,0.75]",0.5,0.75,Blackhole Attack,252,1.5414165083183566,4.056937179986776,1.0037634212283881,0.6825396825396826
50,"(0.50,0.75]",0.5,0.75,Flooding Attack,12,2.1814378165790536,9.157563908562931,1.0037634212283881,1.0
50,"(0.50,0.75]",0.5,0.75,Normal Traffic,724,2.2414101575414525,9.219302593029862,1.0037634212283881,1.0
50,"(0.50,0.75]",0.5,0.75,Sybil Attack,68,2.0950843993213426,8.647159906024404,1.0037634212283881,1.0
50,"(0.50,0.75]",0.5,0.75,Wormhole Attack,80,2.2679264093772464,9.271464093328706,1.0037634212283881,1.0
50,"(0.75,1.00]",0.75,1.0,all,5304,2.0331253689013185,7.644284037427111,1.0037634212283881,0.9641779788838613
50,"(0.75,1.00]",0.75,1.0,Blackhole Attack,1539,2.0126308618463313,7.588255075371874,1.0037634212283881,0.9155295646523717
50,"(0.75,1.00]",0.75,1.0,Flooding Attack,814,1.825095906216983,6.199532484320204,1.0037634212283881,0.9262899262899262
