window_idx,start_pos,majority_label,attack_frac,W2_c2,W2_network,W2_physical,W2_c2_only,W2_network_only,W2_physical_only,W2_c2_network,W2_c2_physical,W2_network_physical,W2_all_three,Z2_c2,Z2_network,Z2_physical,Z2_c2_only,Z2_network_only,Z2_physical_only,Z2_c2_network,Z2_c2_physical,Z2_network_physical,Z2_all_three
0,0,Sybil Attack,1.0,1.917887028675022,0.21165444143060302,1.3523833201133548,1.917887028675022,0.21165444143060302,1.3523833201133548,2.1295414701056252,3.270270348788377,1.5640377615439578,3.4819247902189803,2.318153183696146,0.9240070700529271,3.766400750656435,2.318153183696146,0.9240070700529271,3.766400750656435,3.242160253749073,6.084553934352581,4.690407820709362,7.008561004405508
1,200,Sybil Attack,1.0,1.8495725435230501,0.2063203268179263,1.3598644255951688,1.8495725435230501,0.2063203268179263,1.3598644255951688,2.0558928703409762,3.2094369691182187,1.5661847524130952,3.415757295936145,2.1703173045951187,0.8542775587708785,3.7983819744434717,2.1703173045951187,0.8542775587708785,3.7983819744434717,3.0245948633659974,5.96869927903859,4.65265953321435,6.822976837809469
2,400,Sybil Attack,1.0,1.8147410375913047,0.2023868676359892,1.3503033083410176,1.8147410375913047,0.2023868676359892,1.3503033083410176,2.017127905227294,3.1650443459323223,1.5526901759770069,3.3674312135683113,2.09494022624377,0.8028579312749621,3.7575088399445096,2.09494022624377,0.8028579312749621,3.7575088399445096,2.897798157518732,5.85244906618828,4.5603667712194715,6.655306997463242
3,600,Sybil Attack,1.0,1.7339170025099058,0.19360695768505368,1.343816942797523,1.7339170025099058,0.19360695768505368,1.343816942797523,1.9275239601949594,3.077733945307429,1.5374239004825767,3.2713409029924825,1.9200330707236792,0.6880837139148456,3.729780062624727,1.9200330707236792,0.6880837139148456,3.729780062624727,2.6081167846385247,5.649813133348406,4.417863776539573,6.337896847263252
4,800,Sybil Attack,1.0,1.7059251608708437,0.184945479084068,1.3500172104457877,1.7059251608708437,0.184945479084068,1.3500172104457877,1.8908706399549118,3.0559423713166316,1.5349626895298556,3.2408878504006995,1.8594573596257813,0.5748576747908793,3.756285790645901,1.8594573596257813,0.5748576747908793,3.756285790645901,2.4343150344166604,5.615743150271682,4.33114346543678,6.190600825062561
5,1000,Sybil Attack,1.0,1.6645692358488176,0.18681971401475234,1.3653351876929338,1.6645692358488176,0.18681971401475234,1.3653351876929338,1.8513889498635698,3.029904423541751,1.552154901707686,3.2167241375565037,1.7699611200205718,0.5993583642649628,3.8217691152022244,1.7699611200205718,0.5993583642649628,3.8217691152022244,2.3693194842855347,5.591730235222796,4.421127479467187,6.19108859948776
6,1200,Sybil Attack,1.0,1.6677793771764744,0.184490896742551,1.3516255764800134,1.6677793771764744,0.184490896742551,1.3516255764800134,1.8522702739190253,3.0194049536564878,1.5361164732225643,3.2038958503990385,1.7769080224843312,0.5689152069563678,3.763161447485265,1.7769080224843312,0.5689152069563678,3.763161447485265,2.345823229440699,5.5400694699695965,4.332076654441633,6.108984676925964
7,1400,Sybil Attack,1.0,1.65280570076833,0.18578674728409045,1.3468822629925503,1.65280570076833,0.18578674728409045,1.3468822629925503,1.8385924480524205,2.9996879637608806,1.5326690102766407,3.1854747110449706,1.7445042561345172,0.5858550426211999,3.7428841007076548,1.7445042561345172,0.5858550426211999,3.7428841007076548,2.330359298755717,5.487388356842172,4.328739143328855,6.073243399463372
8,1600,Sybil Attack,1.0,1.642494102545507,0.1759174698231241,1.3503883638573784,1.642494102545507,0.1759174698231241,1.3503883638573784,1.8184115723686312,2.9928824664028855,1.5263058336805024,3.1687999362260095,1.7221894544520278,0.4568402118516026,3.7578724465678444,1.7221894544520278,0.4568402118516026,3.7578724465678444,2.1790296663036304,5.480061901019872,4.214712658419447,5.936902112871475
9,1800,Sybil Attack,1.0,1.6193909146350758,0.19581159703186224,1.3528578356990066,1.6193909146350758,0.19581159703186224,1.3528578356990066,1.815202511666938,2.9722487503340824,1.5486694327308688,3.1680603473659446,1.6721930285523552,0.7169035716360868,3.7684292729346005,1.6721930285523552,0.7169035716360868,3.7684292729346005,2.389096600188442,5.440622301486956,4.485332844570687,6.157525873123042
