window_idx,start_pos,majority_label,attack_frac,W2_c2,W2_network,W2_physical,W2_c2_only,W2_network_only,W2_physical_only,W2_c2_network,W2_c2_physical,W2_network_physical,W2_all_three,Z2_c2,Z2_network,Z2_physical,Z2_c2_only,Z2_network_only,Z2_physical_only,Z2_c2_network,Z2_c2_physical,Z2_network_physical,Z2_all_three
0,0,Blackhole Attack,0.8,0.813920101878146,0.24083194188995574,0.3007052439646463,0.813920101878146,0.24083194188995574,0.3007052439646463,1.0547520437681017,1.1146253458427924,0.5415371858546021,1.355457287732748,2.644796368149243,2.5134541616004418,0.366773612398673,2.644796368149243,2.5134541616004418,0.366773612398673,5.158250529749685,3.011569980547916,2.8802277739991147,5.525024142148358
1,25,Wormhole Attack,0.68,0.8552074734815243,0.21914706634156178,0.5521356249575714,0.8552074734815243,0.21914706634156178,0.5521356249575714,1.074354539823086,1.4073430984390956,0.7712826912991332,1.6264901647806576,2.8938146572369563,2.0965297526519824,2.6156960287202162,2.8938146572369563,2.0965297526519824,2.6156960287202162,4.990344409888939,5.5095106859571725,4.712225781372199,7.606040438609155
2,50,Normal Traffic,0.68,0.9653637781934945,0.2743921953486496,0.5519175960325365,0.9653637781934945,0.2743921953486496,0.5519175960325365,1.2397559735421442,1.5172813742260312,0.8263097913811861,1.7916735695746806,3.5582050862308696,3.158700605657747,2.6137458660748707,3.5582050862308696,3.158700605657747,2.6137458660748707,6.716905691888616,6.171950952305741,5.772446471732618,9.330651557963487
3,75,Blackhole Attack,0.84,0.8048269965142228,0.14533387424117777,0.5019341478400872,0.8048269965142228,0.14533387424117777,0.5019341478400872,0.9501608707554006,1.3067611443543101,0.647268022081265,1.4520950185954877,2.589952733103384,0.677359906813005,2.1666682430719093,2.589952733103384,0.677359906813005,2.1666682430719093,3.2673126399163888,4.756620976175293,2.844028149884914,5.433980882988298
4,100,Flooding Attack,0.8,0.6029776524700915,0.24125507185729664,0.3899893453503903,0.6029776524700915,0.24125507185729664,0.3899893453503903,0.8442327243273882,0.9929669978204818,0.631244417207687,1.2342220696777786,1.3725301567717398,2.5215894728291497,1.1653764551998185,1.3725301567717398,2.5215894728291497,1.1653764551998185,3.8941196296008895,2.5379066119715583,3.686965928028968,5.059496084800708
5,125,Sybil Attack,0.88,0.6401776606487517,0.2804270620996595,0.39508955916928545,0.6401776606487517,0.2804270620996595,0.39508955916928545,0.9206047227484112,1.0352672198180373,0.675516621268945,1.3156942819176967,1.5968961561307526,3.2747300127729684,1.2109953861342981,1.5968961561307526,3.2747300127729684,1.2109953861342981,4.871626168903721,2.8078915422650508,4.485725398907267,6.08262155503802
6,150,Normal Traffic,0.68,0.8637228347763921,0.18181177183411262,0.47325135609989405,0.8637228347763921,0.18181177183411262,0.47325135609989405,1.0455346066105047,1.3369741908762862,0.6550631279340067,1.5187859627103988,2.945173719784745,1.3787024558940932,1.9101146275045933,2.945173719784745,1.3787024558940932,1.9101146275045933,4.323876175678839,4.8552883472893384,3.2888170833986865,6.233990803183432
7,175,Blackhole Attack,0.8,0.8528959376433042,0.28445354096520553,0.5234980646048345,0.8528959376433042,0.28445354096520553,0.5234980646048345,1.1373494786085097,1.3763940022481387,0.80795160557004,1.660847543213344,2.8798729923344752,3.352145136388265,2.359546985904888,2.8798729923344752,3.352145136388265,2.359546985904888,6.23201812872274,5.239419978239363,5.711692122293153,8.591565114627628
8,200,Blackhole Attack,0.84,0.8203237909920881,0.3096118595105439,0.43968486277217106,0.8203237909920881,0.3096118595105439,0.43968486277217106,1.129935650502632,1.2600086537642592,0.7492967222827149,1.569620513274803,2.6834192120135154,3.8358517210188183,1.6098786775612652,2.6834192120135154,3.8358517210188183,1.6098786775612652,6.519270933032334,4.293297889574781,5.445730398580084,8.129149610593599
9,225,Blackhole Attack,0.8,0.8831181305963002,0.26142137400488485,0.34580812758954677,0.8831181305963002,0.26142137400488485,0.34580812758954677,1.144539504601185,1.2289262581858469,0.6072295015944316,1.4903476321907319,3.0621533964718513,2.909317019837459,0.7701969601429326,3.0621533964718513,2.909317019837459,0.7701969601429326,5.971470416309311,3.832350356614784,3.6795139799803915,6.741667376452243
