subset,scoring,mean,std
all_three,raw,0.8567614583333333,0.02946830035667913
all_three,znorm,0.8922427083333333,0.010496189009538507
c2_network,raw,0.8210145833333332,0.028623708065368854
c2_network,znorm,0.82970625,0.014742306984809921
c2_only,raw,0.7319916666666666,0.02980275101561849
c2_only,znorm,0.7319916666666666,0.02980275101561849
c2_physical,raw,0.7470895833333332,0.0276349335811842
c2_physical,znorm,0.7360666666666665,0.020401414131567253
network_only,raw,0.7567239583333333,0.003509911097372424
network_only,znorm,0.7567239583333333,0.003509911097372424
network_physical,raw,0.8562677083333333,0.015177611986045699
network_physical,znorm,0.8717947916666667,0.012388699934525396
physical_only,raw,0.611378125,0.015214030004715233
physical_only,znorm,0.611378125,0.015214030004715233
