feature_set,model,curated,accuracy_mean,weighted_f1_mean,macro_f1_mean,weighted_auc_mean,auc_Blackhole Attack_mean,auc_Flooding Attack_mean,auc_Normal Traffic_mean,auc_Sybil Attack_mean,auc_Wormhole Attack_mean,accuracy_std,weighted_f1_std,macro_f1_std,weighted_auc_std,auc_Blackhole Attack_std,auc_Flooding Attack_std,auc_Normal Traffic_std,auc_Sybil Attack_std,auc_Wormhole Attack_std
combined,logreg,False,0.8620539124740806,0.86244673613118,0.86693872613163,0.9741826894832176,0.9660742168332123,0.9925392810658707,0.9859493335031416,0.9993153964840884,0.9334195112247549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,rf,False,0.9289897777292735,0.929371422796628,0.9328177028031246,0.993089533266816,0.9872900928471252,0.9996170339044065,0.9982023747193449,0.9995064977926553,0.9829072841719694,6.300886927747814e-05,5.2590310693100184e-05,0.00014300729132062372,4.506957548809955e-05,0.0001633463407357709,3.348379010713774e-05,7.12970430596589e-05,5.5078621375214266e-05,9.45931940213907e-05
combined,rf,True,0.958092327840227,0.9581487598311037,0.960720051560798,0.9966923164894426,0.993380608034983,0.9999908073182455,0.999812497641554,0.9999714254518425,0.9913565214440232,0.0003319198150332104,0.00032903147800268873,0.00031074865076183907,5.3340844195841766e-05,0.00015056381916892485,6.286037562693959e-07,4.740132825668324e-06,1.460247534478115e-05,0.0001071012809880789
combined,svm,False,0.8293317326930773,0.8305474362207503,0.8340343331484931,0.9602261423591831,0.9627255429165998,0.9786937754893034,0.9817063062489387,0.9973990699753045,0.8879035143324973,0.0007204810040502747,0.0005060908343257394,0.0005893346624671232,0.0005258171515255232,0.0004490587398840868,0.000894914931025341,0.0005715800363879174,0.0015459964791284583,0.002328899557852364
original,logreg,False,0.877114482156499,0.8777853325771728,0.8845933130534492,0.9784295863297955,0.9687733284020835,0.9987657175340047,0.9882148037301185,0.9994055615731483,0.9435427833530968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
original,rf,False,0.9618029029793735,0.961811942129045,0.9641630730460374,0.9972064148648316,0.9941925137218894,0.9999935343338856,0.9999033449840568,0.9999996988851126,0.9928321925348188,0.0002835399117487157,0.0002785543651224758,0.00025858172952506375,7.841702261528662e-05,0.00013324177617509355,6.859972326241391e-07,4.063724951119956e-06,9.778992818801457e-08,0.00023006038887393707
original,rf,True,0.9627123576703408,0.9627236835253047,0.9650192484631828,0.9972071276496414,0.9941702304921648,0.9999932301103667,0.9999034511141299,0.9999997710272212,0.9928578937693772,0.0004376735936380311,0.00045049675182049837,0.00042204415155028984,4.5033556181899283e-05,0.00010745660917765206,1.5169873720674905e-06,4.219637526310666e-07,7.309049605331171e-08,0.00010502801666039921
original,svm,False,0.8992869875222816,0.8995092547385696,0.9040189634620731,0.9863622828767701,0.9774355456399023,0.9978991020194071,0.9966734589913399,0.9995239059970763,0.9640827744179209,0.0024557297583379513,0.0024127522144289965,0.0023325038556771096,0.0003856945843252494,0.0003375718225976095,0.00017194380062209377,0.00036907832367417785,0.00021847649697216188,0.0011937121181506162
summary_only,logreg,False,0.6289970533668012,0.6172805349337468,0.6086923206724532,0.8912424455625669,0.8868554393455299,0.86017303178141,0.9535364662930887,0.9399656239716808,0.811664775260302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summary_only,rf,False,0.8095419986176289,0.809769843908367,0.8127578638929491,0.9636207864923794,0.9409725394836181,0.9774632829885928,0.9910710558527197,0.9913168409572957,0.9227245499014041,0.0006930975620523957,0.0006699082101870384,0.0006230654693558728,0.00015895123921093373,0.0003558318508079452,0.00014166018000447614,0.00011499594187923325,8.897806414139467e-05,0.00013421043270566525
summary_only,rf,True,0.8090327039906873,0.8092503100409951,0.8123444620733031,0.963598630195897,0.9399567006076341,0.978334967673392,0.9912221113752571,0.9919610229362031,0.9222324733612185,0.00046408930198163533,0.00046636654838767,0.00041893652000076577,0.0001392003498986243,0.00026023821220103044,5.120831870130298e-05,5.3947859151102994e-05,0.00013936694726387745,0.00023706688753835425
summary_only,svm,False,0.6018225472006985,0.5651721089502838,0.5463223552697755,0.9019134537741254,0.8912682688893531,0.8855837593727142,0.9679980448482105,0.9497536833172848,0.8144658640706299,0.002184736573083877,0.00588657977163695,0.006932581706637814,0.001080486716506688,0.0019013435422931258,0.0055929197731872235,0.0008380283600137804,0.0020747563154560173,0.0023239135178015793
summary_plus_images,logreg,False,0.6379460875259194,0.6215310649943894,0.6113691697370823,0.8983868888351004,0.8908265553896628,0.8896794509673022,0.9519878693326541,0.946370149427322,0.8144804567688301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summary_plus_images,rf,False,0.7768743861180836,0.7771840203295928,0.7803016747932796,0.9515265614257441,0.9241333691400561,0.9640016158593964,0.9846609792739761,0.9850635630002448,0.9053209930526759,0.00064333876037061,0.0007075867765150586,0.0007307969666207895,0.00020217469274328578,0.0003335585378104974,0.00022493968820770627,5.777915747748944e-05,0.00014500274592349173,0.00036778451350764256
summary_plus_images,rf,True,0.8061406380734112,0.8062764400317981,0.8092131961828315,0.963046578684502,0.9389238909231121,0.9778120257709721,0.9912177246655723,0.9917273013246325,0.9212964129439727,0.0005157498227930818,0.0005856177565600782,0.0005187803058305302,7.59721921703088e-05,0.00011575660652156468,0.00016696247107879695,2.434400494365807e-05,0.00011044196788823558,0.0002284476868369615
summary_plus_images,svm,False,0.3777692895339954,0.35681872095475214,0.3407025144983605,0.8100776258243313,0.7921138203041731,0.7367295373524866,0.8973774020773192,0.8722331109756721,0.7385772019960472,0.015090295332063677,0.01373045955072274,0.012859810213475775,0.00976703729912115,0.001218402808113214,0.02858579619744484,0.007993095255524519,0.020937050046820158,0.0011133021066677099
