feature,importance
PacketDropRate,0.09504737023126092
TxByteRate/s,0.0837902422777769
TxPacketRate/s,0.057071435296088505
SrcAddr_octet,0.05698780501278699
FlowDuration/s,0.04374412336984126
RxByteRate/s,0.04330036411735191
C2_H1_count,0.04092114111547243
RxPacketRate/s,0.03828404854462609
Throughput/Kbps,0.036850583180614176
C2_H1_entropy,0.03274919813187397
LostPackets,0.03243078480247833
MeanPacketSize,0.028760274523747777
TxBytes,0.02540810528873375
C2_H0_std_persistence,0.025101685883167565
SrcPort_binary,0.02246332930266222
TxPackets,0.021970807960099186
DstPort_binary,0.020981232368852663
RxBytes,0.01903552958089892
RxPackets,0.01811958796269951
C2_H0_mean_persistence,0.017579044395752714
C2_H0_count,0.01676057682231982
Network_H0_std_persistence,0.015534385995373323
Network_H0_mean_persistence,0.013620108007406245
C2_H1_mean_persistence,0.012641062676820372
C2_H0_mean_death,0.012595156704967919
Network_H0_mean_death,0.0102164942011352
C2_H0_total_persistence,0.008808943146231301
C2_H0_entropy,0.008709844948087552
Network_H0_count,0.007717184718744223
MeanDelay/s,0.00720694010460171
MeanDelay/s.1,0.00702304012226481
C2_H1_mean_death,0.006588704307742403
C2_H1_total_persistence,0.005944916235136469
C2_H1_mean_birth,0.005822333502454622
Network_H0_entropy,0.005814539123503323
Network_H1_count,0.005669349634959147
MeanJitter/s,0.005598984438310483
Network_H1_total_persistence,0.005531296161018293
AverageHopCount,0.0054709475631076155
Network_H1_mean_birth,0.005266251595725426
AverageHopCount.1,0.00515072629084099
DstAddr_octet,0.0048676349728134
Network_H0_total_persistence,0.004489837718688677
C2_H1_std_persistence,0.004461063592481319
Network_H1_entropy,0.004254603193461573
Network_H1_mean_death,0.0041757337558537685
Network_H1_max_persistence,0.0036218944763705217
Physical_H0_total_persistence,0.003617276737889266
Network_H1_mean_persistence,0.0035446879456126346
Network_H1_std_persistence,0.0033378637390276546
C2_H1_max_persistence,0.0032498611258608132
Physical_H0_entropy,0.0031690377029914975
Physical_H0_std_persistence,0.002208151889356279
Physical_H0_mean_persistence,0.0020536775257858127
Physical_H0_mean_death,0.0020476836687841776
Physical_H1_entropy,0.0017922753263854454
Physical_H1_mean_birth,0.001652161800690225
Physical_H1_count,0.0015596133292908065
Physical_H1_mean_death,0.001519835623716036
Physical_H1_total_persistence,0.0013338188318209546
Physical_H1_std_persistence,0.001269489815726678
Physical_H1_mean_persistence,0.0012331027848729405
Physical_H1_max_persistence,0.0011539400029653287
Physical_H0_count,0.001098274792017168
Physical_H2_count,0.0
Physical_H2_mean_birth,0.0
Physical_H2_total_persistence,0.0
Physical_H2_max_persistence,0.0
Physical_H2_mean_death,0.0
Physical_H2_std_persistence,0.0
Physical_H0_mean_birth,0.0
Physical_H2_mean_persistence,0.0
C2_H2_max_persistence,0.0
Network_H2_mean_birth,0.0
Physical_H0_max_persistence,0.0
Network_H2_entropy,0.0
C2_H2_mean_birth,0.0
C2_H2_mean_death,0.0
C2_H2_entropy,0.0
C2_H2_std_persistence,0.0
C2_H2_mean_persistence,0.0
Network_H0_max_persistence,0.0
Network_H0_mean_birth,0.0
C2_H2_count,0.0
C2_H0_mean_birth,0.0
C2_H0_max_persistence,0.0
Network_H2_count,0.0
Network_H2_mean_persistence,0.0
Network_H2_std_persistence,0.0
Network_H2_max_persistence,0.0
Network_H2_total_persistence,0.0
C2_H2_total_persistence,0.0
Network_H2_mean_death,0.0
Physical_H2_entropy,0.0
