feature,importance,type
PacketDropRate,0.08845233144711842,Original Feature
TxByteRate/s,0.06035493689854909,Original Feature
TxPacketRate/s,0.05643150492934846,Original Feature
SrcAddr_octet,0.05548727176888832,Original Feature
Throughput/Kbps,0.03810459296646709,Original Feature
Physical_H0_entropy,0.031985100848896365,TDA Feature
RxPacketRate/s,0.03123813135660732,Original Feature
C2_H0_entropy,0.030874258110210273,TDA Feature
C2_H0_total_persistence,0.028612544966639477,TDA Feature
C2_H1_mean_birth,0.02743206971202793,TDA Feature
C2_H0_mean_persistence,0.02407573568026159,TDA Feature
C2_H1_mean_death,0.023896632334970608,TDA Feature
C2_H1_mean_persistence,0.02381932534027938,TDA Feature
C2_H1_std_persistence,0.022840715270554646,TDA Feature
LostPackets,0.022723458884737882,Original Feature
RxByteRate/s,0.02268063730438533,Original Feature
C2_H0_std_persistence,0.021292245169460003,TDA Feature
FlowDuration/s,0.02121504014073228,Original Feature
Physical_H0_mean_persistence,0.020747143252955538,TDA Feature
MeanPacketSize,0.02028776414599835,Original Feature
C2_H0_mean_death,0.01947643750763552,TDA Feature
Network_H0_total_persistence,0.01907291275247171,TDA Feature
Network_H0_mean_death,0.018307230483684052,TDA Feature
Physical_H0_total_persistence,0.01802641102855302,TDA Feature
SrcPort_binary,0.017537555252047712,Original Feature
Physical_H0_mean_death,0.017463980812952733,TDA Feature
DstPort_binary,0.016840672896105167,Original Feature
TxBytes,0.015373468237592133,Original Feature
Network_H0_mean_persistence,0.013866331900940438,TDA Feature
C2_H1_count,0.012783422465619618,TDA Feature
C2_H1_max_persistence,0.012315245842080857,TDA Feature
Network_H0_entropy,0.011153440838385775,TDA Feature
TxPackets,0.010529328877849395,Original Feature
Physical_H1_total_persistence,0.009920041476793,TDA Feature
RxBytes,0.009733546676488344,Original Feature
RxPackets,0.009647633500301967,Original Feature
C2_H1_entropy,0.007796559745917647,TDA Feature
Physical_H1_count,0.006148559901432661,TDA Feature
Physical_H1_max_persistence,0.0056963930768538585,TDA Feature
Network_H1_mean_death,0.0056510640638285335,TDA Feature
Network_H1_total_persistence,0.0055840266689761294,TDA Feature
Physical_H1_mean_birth,0.0055525817096098995,TDA Feature
Physical_H1_std_persistence,0.00548820490165497,TDA Feature
C2_H1_total_persistence,0.005481302432234697,TDA Feature
Physical_H1_mean_death,0.005195143864819741,TDA Feature
Network_H1_mean_birth,0.0050069259751925775,TDA Feature
Physical_H1_entropy,0.00440291395545851,TDA Feature
Physical_H0_std_persistence,0.004356051380222632,TDA Feature
Physical_H1_mean_persistence,0.003558616689804322,TDA Feature
MeanDelay/s.1,0.002792750076665548,Original Feature
Network_H1_std_persistence,0.002778575637421271,TDA Feature
MeanJitter/s,0.0027687233149229482,Original Feature
Network_H0_std_persistence,0.0027368083723838103,TDA Feature
Network_H1_mean_persistence,0.002558408905286575,TDA Feature
MeanDelay/s,0.0025366146195493545,Original Feature
Network_H1_count,0.002150427895296178,TDA Feature
Network_H1_max_persistence,0.0019380825911867457,TDA Feature
Network_H1_entropy,0.0016541710277519636,TDA Feature
AverageHopCount.1,0.001154619904834788,Original Feature
DstAddr_octet,0.0011419015780683292,Original Feature
AverageHopCount,0.0010555976334710275,Original Feature
Network_H0_count,7.825806463359963e-05,TDA Feature
Physical_H0_count,7.523534933159277e-05,TDA Feature
C2_H0_count,6.237958460039798e-05,TDA Feature
Network_H2_mean_persistence,0.0,TDA Feature
C2_H2_max_persistence,0.0,TDA Feature
Physical_H2_mean_death,0.0,TDA Feature
Physical_H2_mean_birth,0.0,TDA Feature
Physical_H2_total_persistence,0.0,TDA Feature
Physical_H2_max_persistence,0.0,TDA Feature
Physical_H2_std_persistence,0.0,TDA Feature
Physical_H2_mean_persistence,0.0,TDA Feature
Physical_H2_count,0.0,TDA Feature
C2_H2_mean_death,0.0,TDA Feature
Network_H0_mean_birth,0.0,TDA Feature
C2_H2_mean_birth,0.0,TDA Feature
C2_H2_total_persistence,0.0,TDA Feature
C2_H2_mean_persistence,0.0,TDA Feature
C2_H2_std_persistence,0.0,TDA Feature
Network_H2_std_persistence,0.0,TDA Feature
C2_H0_max_persistence,0.0,TDA Feature
Physical_H0_mean_birth,0.0,TDA Feature
C2_H0_mean_birth,0.0,TDA Feature
Physical_H0_max_persistence,0.0,TDA Feature
Network_H2_count,0.0,TDA Feature
Network_H0_max_persistence,0.0,TDA Feature
Network_H2_mean_death,0.0,TDA Feature
Network_H2_mean_birth,0.0,TDA Feature
Network_H2_total_persistence,0.0,TDA Feature
Network_H2_max_persistence,0.0,TDA Feature
C2_H2_count,0.0,TDA Feature
